"","vars","accuracy"
"3","history",0.71375
"2","duration",0.70125
"10","amount",0.70125
"22","age",0.7
"17","co.applicant",0.69625
"8","education",0.695
"14","male_div",0.69375
"12","employment",0.68875
"1","chk_acct",0.6825
"21","prop_unkn_none",0.68
"9","retraining",0.6675
"24","rent",0.6625
"23","other_install",0.66125
"27","job",0.66
"25","own_res",0.64125
"6","furniture",0.64
"4","new_car",0.63625
"19","present_resident",0.595
"15","male_single",0.5525
"13","install_rate",0.53875
"11","sav_acct",0.5325
"29","telephone",0.4825
"20","real_estate",0.46875
"26","num_credits",0.4675
"7","radio.tv",0.45875
"28","num_dependents",0.37
"5","used_car",0.36375
"16","male_mar_or_wid",0.34375
"18","guarantor",0.3325
"30","foreign",0.325
